,職稱,姓名,所代表法人,持有股份數(股),主要公司,公司
46,公司已廢止  ，董事會已不存在  ，依公司法第83條規定，清算人之就任、解任等均應向法院聲報；依民法第42條第1項規定，清算中之公司，係屬法院監督範疇。,公司已廢止  ，董事會已不存在  ，依公司法第83條規定，清算人之就任、解任等均應向法院聲報；依民法第42條第1項規定，清算中之公司，係屬法院監督範疇。,公司已廢止  ，董事會已不存在  ，依公司法第83條規定，清算人之就任、解任等均應向法院聲報；依民法第42條第1項規定，清算中之公司，係屬法院監督範疇。,公司已廢止  ，董事會已不存在  ，依公司法第83條規定，清算人之就任、解任等均應向法院聲報；依民法第42條第1項規定，清算中之公司，係屬法院監督範疇。,長森興業股份有限公司,嘉新食品化纖股份有限公司
47,代表人,,力長企業股份有限公司,0,,嘉新食品化纖股份有限公司
48,監察人,譚伯郊,欣湖企業股份有限公司,600000,力長企業股份有限公司,嘉新食品化纖股份有限公司
49,公司已廢止  ，董事會已不存在  ，依公司法第83條規定，清算人之就任、解任等均應向法院聲報；依民法第42條第1項規定，清算中之公司，係屬法院監督範疇。,公司已廢止  ，董事會已不存在  ，依公司法第83條規定，清算人之就任、解任等均應向法院聲報；依民法第42條第1項規定，清算中之公司，係屬法院監督範疇。,公司已廢止  ，董事會已不存在  ，依公司法第83條規定，清算人之就任、解任等均應向法院聲報；依民法第42條第1項規定，清算中之公司，係屬法院監督範疇。,公司已廢止  ，董事會已不存在  ，依公司法第83條規定，清算人之就任、解任等均應向法院聲報；依民法第42條第1項規定，清算中之公司，係屬法院監督範疇。,力長企業股份有限公司,嘉新食品化纖股份有限公司
50,代表人,,欣湖企業股份有限公司,0,欣湖企業股份有限公司,嘉新食品化纖股份有限公司
51,代表人,,日安企業股份有限公司,0,日安企業股份有限公司,嘉新食品化纖股份有限公司
52,董事長,萬物皆可貸股份有限公司,,5666000.0,億麗科技股份有限公司,億麗科技股份有限公司
53,董事,祥睿工程股份有限公司,,6209104.0,億麗科技股份有限公司,億麗科技股份有限公司
54,董事,鄧桂珠,家凡人股份有限公司,1605098.0,億麗科技股份有限公司,億麗科技股份有限公司
55,董事,葉瑞祺,家凡人股份有限公司,1605098.0,億麗科技股份有限公司,億麗科技股份有限公司
56,獨立董事,蔡孟佳,,0.0,億麗科技股份有限公司,億麗科技股份有限公司
57,獨立董事,潘飛,,0.0,億麗科技股份有限公司,億麗科技股份有限公司
58,代表人,丁予涵,家凡人股份有限公司,0.0,,億麗科技股份有限公司
59,董事長,丁予涵,,100000.0,家凡人股份有限公司,億麗科技股份有限公司
60,董事,鄧桂珠,,150000.0,家凡人股份有限公司,億麗科技股份有限公司
61,董事,丁文聰,,150000.0,家凡人股份有限公司,億麗科技股份有限公司
62,監察人,丁凡恩,,100000.0,家凡人股份有限公司,億麗科技股份有限公司
63,重整人,章世璋,,0.0,歌林股份有限公司,歌林股份有限公司
64,重整監督人,凱基商業銀行股份有限公司,,0.0,歌林股份有限公司,歌林股份有限公司
65,重整監督人,蔡慧玲,,0.0,歌林股份有限公司,歌林股份有限公司
66,重整監督人,呂正樂,,0.0,歌林股份有限公司,歌林股份有限公司
67,董事長,暫缺,,0.0,歌林股份有限公司,歌林股份有限公司
68,董事,暫缺,,0.0,歌林股份有限公司,歌林股份有限公司
69,董事,暫缺,,0.0,歌林股份有限公司,歌林股份有限公司
70,董事,暫缺,,0.0,歌林股份有限公司,歌林股份有限公司
71,董事,暫缺,,0.0,歌林股份有限公司,歌林股份有限公司
72,董事,暫缺,,0.0,歌林股份有限公司,歌林股份有限公司
73,董事,暫缺,,0.0,歌林股份有限公司,歌林股份有限公司
74,董事,暫缺,,0.0,歌林股份有限公司,歌林股份有限公司
75,董事,暫缺,,0.0,歌林股份有限公司,歌林股份有限公司
76,董事,暫缺,,0.0,歌林股份有限公司,歌林股份有限公司
77,董事,暫缺,,0.0,歌林股份有限公司,歌林股份有限公司
78,監察人,暫缺,,0.0,歌林股份有限公司,歌林股份有限公司
79,董事長,王鎮民,嘉隆國際實業有限公司,4204282.0,大西洋飲料股份有限公司,大西洋飲料股份有限公司
80,常務董事  (獨立董事),廖虹羚,,0.0,大西洋飲料股份有限公司,大西洋飲料股份有限公司
81,獨立董事,王邦屹,,0.0,大西洋飲料股份有限公司,大西洋飲料股份有限公司
82,董事,吳成志,嘉隆國際實業有限公司,4204282.0,大西洋飲料股份有限公司,大西洋飲料股份有限公司
83,董事,于忠敏,嘉隆國際實業有限公司,4204282.0,大西洋飲料股份有限公司,大西洋飲料股份有限公司
84,董事,王惠民,錫標有限公司,2204400.0,大西洋飲料股份有限公司,大西洋飲料股份有限公司
85,董事,謝政成,錫標有限公司,2204400.0,大西洋飲料股份有限公司,大西洋飲料股份有限公司
86,董事,鍾文德,錫標有限公司,2204400.0,大西洋飲料股份有限公司,大西洋飲料股份有限公司
87,監察人,魏原暉,陽翼有限公司,698940.0,大西洋飲料股份有限公司,大西洋飲料股份有限公司
88,代表人,許麗花,陽翼有限公司,0.0,,大西洋飲料股份有限公司
89,代表人,孫幼英,嘉隆國際實業有限公司,0.0,,大西洋飲料股份有限公司
90,代表人,孫幼英,錫標有限公司,0.0,,大西洋飲料股份有限公司
91,董事長,馬堅勇,,795477.0,光洋應用材料科技股份有限公司,光洋應用材料科技股份有限公司
92,董事,黃啓峰,,6125462.0,光洋應用材料科技股份有限公司,光洋應用材料科技股份有限公司
93,董事,玉璟有限公司,,1140.0,光洋應用材料科技股份有限公司,光洋應用材料科技股份有限公司
94,董事,林輝政,台灣鋼鐵股份有限公司,2287086.0,光洋應用材料科技股份有限公司,光洋應用材料科技股份有限公司
95,董事,黃俊義,財團法人榮仁文化藝術基金會,287993.0,光洋應用材料科技股份有限公司,光洋應用材料科技股份有限公司
96,董事,洪本展,昇原投資股份有限公司,10405064.0,光洋應用材料科技股份有限公司,光洋應用材料科技股份有限公司
97,獨立董事,吳昌伯,,0.0,光洋應用材料科技股份有限公司,光洋應用材料科技股份有限公司
98,獨立董事,吳美慧,,0.0,光洋應用材料科技股份有限公司,光洋應用材料科技股份有限公司
99,獨立董事,方振名,,0.0,光洋應用材料科技股份有限公司,光洋應用材料科技股份有限公司
100,代表人,王炯棻,台灣鋼鐵股份有限公司,0.0,,光洋應用材料科技股份有限公司
101,董事長,王炯棻,金智富資產管理有限公司,44350299.0,台灣鋼鐵股份有限公司,光洋應用材料科技股份有限公司
102,監察人,黃俊義,金智富資產管理有限公司,44350299.0,台灣鋼鐵股份有限公司,光洋應用材料科技股份有限公司
103,代表人,黃啟峰,昇原投資股份有限公司,0.0,,光洋應用材料科技股份有限公司
104,董事長,黃啟峰,,1063125.0,昇原投資股份有限公司,光洋應用材料科技股份有限公司
105,董事,黃靖喬,,531562.0,昇原投資股份有限公司,光洋應用材料科技股份有限公司
106,監察人,黃靖雅,,531562.0,昇原投資股份有限公司,光洋應用材料科技股份有限公司
107,董事長,元遠實業股份有限公司,,24008254.0,太平洋電線電纜股份有限公司,太平洋電線電纜股份有限公司
108,副董事長,旭利投資股份有限公司,,3429700.0,太平洋電線電纜股份有限公司,太平洋電線電纜股份有限公司
109,董事,太聯科技股份有限公司,,1600291.0,太平洋電線電纜股份有限公司,太平洋電線電纜股份有限公司
110,董事,錦星興業有限公司,,7549364.0,太平洋電線電纜股份有限公司,太平洋電線電纜股份有限公司
111,董事,酇侯資訊管理顧問股份有限公司,,880000.0,太平洋電線電纜股份有限公司,太平洋電線電纜股份有限公司
112,董事,大鑫投資股份有限公司,,536216.0,太平洋電線電纜股份有限公司,太平洋電線電纜股份有限公司
113,董事,超敏捷投資股份有限公司,,50000.0,太平洋電線電纜股份有限公司,太平洋電線電纜股份有限公司
114,監察人,滿德有限公司,,100000.0,太平洋電線電纜股份有限公司,太平洋電線電纜股份有限公司
115,監察人,國瑞資產管理有限公司,,33000.0,太平洋電線電纜股份有限公司,太平洋電線電纜股份有限公司
116,臨時管理人,俞清松,,0.0,博達科技股份有限公司,博達科技股份有限公司
117,臨時管理人,吳紀群,,0.0,博達科技股份有限公司,博達科技股份有限公司
118,董事長,陳碧華,廣砷投資有限公司,15410166.0,吉祥全球實業股份有限公司,吉祥全球實業股份有限公司
119,董事,劉忠敏,廣砷投資有限公司,15410166.0,吉祥全球實業股份有限公司,吉祥全球實業股份有限公司
120,董事,李國隆,廣砷投資有限公司,15410166.0,吉祥全球實業股份有限公司,吉祥全球實業股份有限公司
121,董事,羅光偉,,5890000.0,吉祥全球實業股份有限公司,吉祥全球實業股份有限公司
122,獨立董事,王兆祥,,0.0,吉祥全球實業股份有限公司,吉祥全球實業股份有限公司
123,獨立董事,黃瑞婷,,0.0,吉祥全球實業股份有限公司,吉祥全球實業股份有限公司
124,獨立董事,楊承璁,,0.0,吉祥全球實業股份有限公司,吉祥全球實業股份有限公司
125,代表人,李國隆,廣砷投資有限公司,0.0,,吉祥全球實業股份有限公司
126,董事長,葉寅夫,,16168553.0,億光電子工業股份有限公司,億光電子工業股份有限公司
127,董事,周博文,,9600000.0,億光電子工業股份有限公司,億光電子工業股份有限公司
128,董事,劉邦言,,162884.0,億光電子工業股份有限公司,億光電子工業股份有限公司
129,董事,葉武炎,,2023658.0,億光電子工業股份有限公司,億光電子工業股份有限公司
130,董事,鑫旺國際投資有限公司,,3918000.0,億光電子工業股份有限公司,億光電子工業股份有限公司
131,董事,楊正利,鈞寶電子工業股份有限公司,1924354.0,億光電子工業股份有限公司,億光電子工業股份有限公司
132,獨立董事,李鍾熙,,0.0,億光電子工業股份有限公司,億光電子工業股份有限公司
133,獨立董事,柯承恩,,0.0,億光電子工業股份有限公司,億光電子工業股份有限公司
134,獨立董事,林榮春,,0.0,億光電子工業股份有限公司,億光電子工業股份有限公司
135,代表人,楊正利,鈞寶電子工業股份有限公司,0.0,,億光電子工業股份有限公司
136,董事長,楊正利,,3795391.0,鈞寶電子工業股份有限公司,億光電子工業股份有限公司
137,董事,葉寅夫,,766417.0,鈞寶電子工業股份有限公司,億光電子工業股份有限公司
138,董事,莊永順,,2913305.0,鈞寶電子工業股份有限公司,億光電子工業股份有限公司
139,董事,徐麗華,升寶投資股份有限公司,10054530.0,鈞寶電子工業股份有限公司,億光電子工業股份有限公司
140,董事,陳震漢,升寶投資股份有限公司,10054530.0,鈞寶電子工業股份有限公司,億光電子工業股份有限公司
141,董事,蔡裕江,升寶投資股份有限公司,10054530.0,鈞寶電子工業股份有限公司,億光電子工業股份有限公司
142,董事,郭坤樟,,2944353.0,鈞寶電子工業股份有限公司,億光電子工業股份有限公司
143,董事,謝玉田,,53873.0,鈞寶電子工業股份有限公司,億光電子工業股份有限公司
144,獨立董事,黃旭男,,0.0,鈞寶電子工業股份有限公司,億光電子工業股份有限公司
145,獨立董事,王家和,,0.0,鈞寶電子工業股份有限公司,億光電子工業股份有限公司
146,獨立董事,劉明雄,,0.0,鈞寶電子工業股份有限公司,億光電子工業股份有限公司
147,代表人,徐麗華,升寶投資股份有限公司,0.0,,億光電子工業股份有限公司
148,董事長,徐麗華,,48000.0,升寶投資股份有限公司,億光電子工業股份有限公司
149,董事,楊正利,,5000.0,升寶投資股份有限公司,億光電子工業股份有限公司
150,董事,楊子萱,,5372000.0,升寶投資股份有限公司,億光電子工業股份有限公司
151,監察人,林英太,,0.0,升寶投資股份有限公司,億光電子工業股份有限公司
152,董事長,黃立中,,16415548.0,中福國際股份有限公司,中福國際股份有限公司
153,副董事長,黃清晏,中福整合行銷有限公司,13547770.0,中福國際股份有限公司,中福國際股份有限公司
154,董事,胡立三,中福整合行銷有限公司,13547770.0,中福國際股份有限公司,中福國際股份有限公司
155,董事,金志雄,中福整合行銷有限公司,13547770.0,中福國際股份有限公司,中福國際股份有限公司
156,獨立董事,林俊廷,,0.0,中福國際股份有限公司,中福國際股份有限公司
157,獨立董事,郭為中,,0.0,中福國際股份有限公司,中福國際股份有限公司
158,代表人,黃立中,中福整合行銷有限公司,0.0,,中福國際股份有限公司
159,董事長,劉柏園,,19372202.0,遊戲橘子數位科技股份有限公司,遊戲橘子數位科技股份有限公司
160,董事,蕭政豪,網銀國際股份有限公司,15101000.0,遊戲橘子數位科技股份有限公司,遊戲橘子數位科技股份有限公司
161,董事,林憲銘,,0.0,遊戲橘子數位科技股份有限公司,遊戲橘子數位科技股份有限公司
162,董事,陳世英,云沛投資有限公司,1005.0,遊戲橘子數位科技股份有限公司,遊戲橘子數位科技股份有限公司
163,獨立董事,林瑞益,,0.0,遊戲橘子數位科技股份有限公司,遊戲橘子數位科技股份有限公司
164,獨立董事,盛保熙,,0.0,遊戲橘子數位科技股份有限公司,遊戲橘子數位科技股份有限公司
165,獨立董事,陳冠百,,0.0,遊戲橘子數位科技股份有限公司,遊戲橘子數位科技股份有限公司
166,代表人,蕭政豪,網銀國際股份有限公司,0.0,,遊戲橘子數位科技股份有限公司
167,董事長,蕭政豪,,8050051.0,網銀國際股份有限公司,遊戲橘子數位科技股份有限公司
168,董事,劉柏園,,50000.0,網銀國際股份有限公司,遊戲橘子數位科技股份有限公司
169,董事,周謀式,,25886.0,網銀國際股份有限公司,遊戲橘子數位科技股份有限公司
170,董事,王有民,,17000.0,網銀國際股份有限公司,遊戲橘子數位科技股份有限公司
171,董事,姚大光,,10000.0,網銀國際股份有限公司,遊戲橘子數位科技股份有限公司
172,監察人,陳皇權,,0.0,網銀國際股份有限公司,遊戲橘子數位科技股份有限公司
173,代表人,唐俊傑,云沛投資有限公司,0.0,,遊戲橘子數位科技股份有限公司
174,董事長,詹逸宏,伸揚投資有限公司,2630570.0,泰山企業股份有限公司,泰山企業股份有限公司
175,董事,詹景超,景勛投資實業有限公司,2805082.0,泰山企業股份有限公司,泰山企業股份有限公司
176,董事,詹佩珊,德臣企業股份有限公司,1979353.0,泰山企業股份有限公司,泰山企業股份有限公司
177,董事,詹皓鈞,,2774738.0,泰山企業股份有限公司,泰山企業股份有限公司
178,獨立董事,吳界欣,,0.0,泰山企業股份有限公司,泰山企業股份有限公司
179,獨立董事,孫初偉,,0.0,泰山企業股份有限公司,泰山企業股份有限公司
180,獨立董事,許永昌,,0.0,泰山企業股份有限公司,泰山企業股份有限公司
181,代表人,詹仁信,伸揚投資有限公司,0.0,,泰山企業股份有限公司
182,代表人,高麗麗,景勛投資實業有限公司,0.0,,泰山企業股份有限公司
183,代表人,詹佩珊,德臣企業股份有限公司,0.0,,泰山企業股份有限公司
184,董事長,詹佩珊,,125000.0,德臣企業股份有限公司,泰山企業股份有限公司
185,董事,詹欣瑜,,130000.0,德臣企業股份有限公司,泰山企業股份有限公司
186,董事,詹凱雯,,122500.0,德臣企業股份有限公司,泰山企業股份有限公司
187,監察人,詹凱雁,,122500.0,德臣企業股份有限公司,泰山企業股份有限公司
188,董事長,林樂萍,,60000.0,台灣鉅邁股份有限公司,台灣鉅邁股份有限公司
189,董事,丁敏學,,1607555.0,台灣鉅邁股份有限公司,台灣鉅邁股份有限公司
190,董事,羅翔威,,504993.0,台灣鉅邁股份有限公司,台灣鉅邁股份有限公司
191,董事,張棋,,390223.0,台灣鉅邁股份有限公司,台灣鉅邁股份有限公司
192,董事,丁翔麟,,697566.0,台灣鉅邁股份有限公司,台灣鉅邁股份有限公司
193,董事,黃勝熒,,695115.0,台灣鉅邁股份有限公司,台灣鉅邁股份有限公司
194,獨立董事,趙興偉,,0.0,台灣鉅邁股份有限公司,台灣鉅邁股份有限公司
195,獨立董事,楊文祥,,0.0,台灣鉅邁股份有限公司,台灣鉅邁股份有限公司
196,獨立董事,林嘉星,,0.0,台灣鉅邁股份有限公司,台灣鉅邁股份有限公司
197,董事長,財團法人陳茂榜工商發展基金會,,2360032.0,聲寶股份有限公司,聲寶股份有限公司
198,副董事長,陳盛泉,,8769932.0,聲寶股份有限公司,聲寶股份有限公司
199,董事,財團法人陳張秀菊文教基金會,,4006453.0,聲寶股份有限公司,聲寶股份有限公司
200,董事,陳盛偉,,8122698.0,聲寶股份有限公司,聲寶股份有限公司
201,獨立董事,江誠榮,,80000.0,聲寶股份有限公司,聲寶股份有限公司
202,獨立董事,黃秋永,,0.0,聲寶股份有限公司,聲寶股份有限公司
203,獨立董事,樓永堅,,0.0,聲寶股份有限公司,聲寶股份有限公司
204,董事長,吳春發,,35356280.0,瑞軒科技股份有限公司,瑞軒科技股份有限公司
205,董事,吳麗凰,,1783062.0,瑞軒科技股份有限公司,瑞軒科技股份有限公司
206,董事,吳旭軒,,427826.0,瑞軒科技股份有限公司,瑞軒科技股份有限公司
207,董事,吳旭祐,,332973.0,瑞軒科技股份有限公司,瑞軒科技股份有限公司
208,董事,周明智,,0.0,瑞軒科技股份有限公司,瑞軒科技股份有限公司
209,董事,錦春投資股份有限公司,,5710794.0,瑞軒科技股份有限公司,瑞軒科技股份有限公司
210,董事,華容股份有限公司,,15207000.0,瑞軒科技股份有限公司,瑞軒科技股份有限公司
211,董事,蔣為峰,,57049.0,瑞軒科技股份有限公司,瑞軒科技股份有限公司
212,獨立董事,周大任,,0.0,瑞軒科技股份有限公司,瑞軒科技股份有限公司
213,獨立董事,黃大倫,,0.0,瑞軒科技股份有限公司,瑞軒科技股份有限公司
214,獨立董事,魏宏政,,0.0,瑞軒科技股份有限公司,瑞軒科技股份有限公司
215,董事長,張曉莉,,1423679.0,金穎生物科技股份有限公司,金穎生物科技股份有限公司
216,董事,紀宜仁,松延酵素股份有限公司,849433.0,金穎生物科技股份有限公司,金穎生物科技股份有限公司
217,董事,金晋德,,388307.0,金穎生物科技股份有限公司,金穎生物科技股份有限公司
218,董事,YAO STEVEN YIH CHUN,佳格食品股份有限公司,2145110.0,金穎生物科技股份有限公司,金穎生物科技股份有限公司
219,董事,邱女珠,朝建投資股份有限公司,946950.0,金穎生物科技股份有限公司,金穎生物科技股份有限公司
220,董事,陳本霖,,440716.0,金穎生物科技股份有限公司,金穎生物科技股份有限公司
221,獨立董事,陳宗民,,0.0,金穎生物科技股份有限公司,金穎生物科技股份有限公司
222,獨立董事,邱芳才,,0.0,金穎生物科技股份有限公司,金穎生物科技股份有限公司
223,獨立董事,林世勲,,0.0,金穎生物科技股份有限公司,金穎生物科技股份有限公司
224,代表人,曹德風,佳格食品股份有限公司,0.0,,金穎生物科技股份有限公司
225,董事長,曹德風,沐德投資股份有限公司,22650057.0,佳格食品股份有限公司,金穎生物科技股份有限公司
226,董事,宣建生,沐德投資股份有限公司,22650057.0,佳格食品股份有限公司,金穎生物科技股份有限公司
227,董事,曹德華,沐德投資股份有限公司,22650057.0,佳格食品股份有限公司,金穎生物科技股份有限公司
228,董事,曹博睿,長徽股份有限公司,6669471.0,佳格食品股份有限公司,金穎生物科技股份有限公司
229,獨立董事,張忠本,,0.0,佳格食品股份有限公司,金穎生物科技股份有限公司
230,獨立董事,周鐘麒,,0.0,佳格食品股份有限公司,金穎生物科技股份有限公司
231,獨立董事,姜豐年,,0.0,佳格食品股份有限公司,金穎生物科技股份有限公司
232,代表人,曹德風,沐德投資股份有限公司,0.0,,金穎生物科技股份有限公司
233,董事長,曹德風,,113999000.0,沐德投資股份有限公司,金穎生物科技股份有限公司
234,董事,蕭秀貞,,0.0,沐德投資股份有限公司,金穎生物科技股份有限公司
235,董事,陳宜玲,,0.0,沐德投資股份有限公司,金穎生物科技股份有限公司
236,監察人,黃素貞,,1000.0,沐德投資股份有限公司,金穎生物科技股份有限公司
237,代表人,廖涵茵,松延酵素股份有限公司,0.0,松延酵素股份有限公司,金穎生物科技股份有限公司
238,代表人,曹德風,長徽股份有限公司,0.0,長徽股份有限公司,金穎生物科技股份有限公司
239,代表人,蔡有涼,朝建投資股份有限公司,0.0,朝建投資股份有限公司,金穎生物科技股份有限公司
240,董事長,姚祖驤,生生投資股份有限公司,23855522.0,亞翔工程股份有限公司,亞翔工程股份有限公司
241,副董事長,陳博仁,韋日投資有限公司,8834139.0,亞翔工程股份有限公司,亞翔工程股份有限公司
242,董事,姚智薰,懷陽投資有限公司,13755701.0,亞翔工程股份有限公司,亞翔工程股份有限公司
243,董事,駱忠誠,薰輝投資興業有限公司,11224763.0,亞翔工程股份有限公司,亞翔工程股份有限公司
244,董事,王自宏,,1859869.0,亞翔工程股份有限公司,亞翔工程股份有限公司
245,獨立董事,李建然,,0.0,亞翔工程股份有限公司,亞翔工程股份有限公司
246,獨立董事,何東晧,,0.0,亞翔工程股份有限公司,亞翔工程股份有限公司
247,獨立董事,彭卓蘭,,0.0,亞翔工程股份有限公司,亞翔工程股份有限公司
248,代表人,姚智薰,韋日投資有限公司,0.0,,亞翔工程股份有限公司
249,代表人,趙玉華,懷陽投資有限公司,0.0,,亞翔工程股份有限公司
250,代表人,趙玉華,薰輝投資興業有限公司,0.0,,亞翔工程股份有限公司
251,代表人,姚祖驤,生生投資股份有限公司,0.0,,亞翔工程股份有限公司
252,董事長,姚祖驤,,5366667.0,生生投資股份有限公司,亞翔工程股份有限公司
253,董事,姚智懷,,93333.0,生生投資股份有限公司,亞翔工程股份有限公司
254,董事,姚智薰,,70000.0,生生投資股份有限公司,亞翔工程股份有限公司
255,董事,姚智韋,,70000.0,生生投資股份有限公司,亞翔工程股份有限公司
256,監察人,趙玉華,,5600000.0,生生投資股份有限公司,亞翔工程股份有限公司
257,董事長,林詠翔,,2027405.0,大江生醫股份有限公司,大江生醫股份有限公司
258,董事,陽光投資股份有限公司,,4556053.0,大江生醫股份有限公司,大江生醫股份有限公司
259,董事,"DyDo Group Holdings, INC.",,9593216.0,大江生醫股份有限公司,大江生醫股份有限公司
260,獨立董事,高振益,,0.0,大江生醫股份有限公司,大江生醫股份有限公司
261,獨立董事,廖松淵,,0.0,大江生醫股份有限公司,大江生醫股份有限公司
262,獨立董事,李世明,,0.0,大江生醫股份有限公司,大江生醫股份有限公司
263,獨立董事,何淑敏,,0.0,大江生醫股份有限公司,大江生醫股份有限公司
264,董事長,鍾富瑋,永讚開發投資股份有限公司,4525400.0,宏大拉鍊股份有限公司,宏大拉鍊股份有限公司
265,董事,蔡焜煌,永讚開發投資股份有限公司,4525400.0,宏大拉鍊股份有限公司,宏大拉鍊股份有限公司
266,董事,蔡紹嵩,宏育國際投資股份有限公司,3327667.0,宏大拉鍊股份有限公司,宏大拉鍊股份有限公司
267,董事,黃偉特,宏達開發投資股份有限公司,2962667.0,宏大拉鍊股份有限公司,宏大拉鍊股份有限公司
268,董事,林俊儀,宏達開發投資股份有限公司,2962667.0,宏大拉鍊股份有限公司,宏大拉鍊股份有限公司
269,董事,王懿昇,宏達開發投資股份有限公司,2962667.0,宏大拉鍊股份有限公司,宏大拉鍊股份有限公司
270,獨立董事,李天行,,0.0,宏大拉鍊股份有限公司,宏大拉鍊股份有限公司
271,獨立董事,鄭佩汶,,0.0,宏大拉鍊股份有限公司,宏大拉鍊股份有限公司
272,獨立董事,林攸彥,,0.0,宏大拉鍊股份有限公司,宏大拉鍊股份有限公司
273,代表人,鍾富瑋,永讚開發投資股份有限公司,0.0,,宏大拉鍊股份有限公司
274,董事長,鍾富瑋,,950000.0,永讚開發投資股份有限公司,宏大拉鍊股份有限公司
275,董事,何明璋,,310000.0,永讚開發投資股份有限公司,宏大拉鍊股份有限公司
276,董事,謝文彬,,0.0,永讚開發投資股份有限公司,宏大拉鍊股份有限公司
277,監察人,陳麒文,,0.0,永讚開發投資股份有限公司,宏大拉鍊股份有限公司
